# Swift-BAT daily average light curve for 1A 0535+262                   
# Generated Wed Jul 14 11:05:52 UTC 2021
#
#     TIME           RATE          ERROR      YEAR          DAY     STAT_ERR        SYS_ERR   DATA_FLAG   TIMEDEL_EXPO     TIMEDEL_CODED  TIMEDEL_DITHERED
#       d        count/cm^2/s   count/cm^2/s   yr            d    count/cm^2/s   count/cm^2/s                s              s              s
      53672       0.00324858     0.00291418   2005         302     0.00249311     0.00011370      0   15424.00000000  1932.96296000 14248.00000000
      53673      -0.00541877     0.00357047   2005         303     0.00305260    -0.00018966      0   11480.00000000  1446.36224246 11480.00000000
      53676       0.00348260     0.00275925   2005         306     0.00236007     0.00012189      0   11360.00000000  2125.10145652 11360.00000000
      53678      -0.00029181     0.00086629   2005         308     0.00074163    -0.00001021      0   31144.00000000  8323.00577414 31144.00000000
      53679      -0.00040099     0.00095201   2005         309     0.00081499    -0.00001403      0   15872.00000000  6121.75000000 15872.00000000
      53680      -0.00033990     0.00127295   2005         310     0.00108981    -0.00001190      0    8872.00000000  3414.71875000  8872.00000000
      53681       0.00360238     0.00265794   2005         311     0.00227307     0.00012608      0   14424.00000000  1860.76733285 14424.00000000
      53684       0.00075453     0.00079511   2005         314     0.00068037     0.00002641      0    9840.00000000  6878.18750000  4792.00000000
      53685       0.00214246     0.00195396   2005         315     0.00167168     0.00007499      0    2720.00000000  1134.12500000     0.00000000
      53686       0.00060153     0.00059175   2005         316     0.00050631     0.00002105      0   11520.00000000 11721.12500000 10112.00000000
      53687       0.00104104     0.00114337   2005         317     0.00097842     0.00003644      0    3128.00000000  3154.37500000   320.00000000
      53688      -0.00052090     0.00091007   2005         318     0.00077901    -0.00001823      0    4888.00000000  4964.37500000  3000.00000000
      53689      -0.00002736     0.00055324   2005         319     0.00047366    -0.00000096      0   13000.00000000 12967.06250000  5584.00000000
      53690       0.00801895     0.00921584   2005         320     0.00788661     0.00028066      0     256.00000000    96.50000000   256.00000000
      53691       0.00011614     0.00335846   2005         321     0.00287539     0.00000406      0    5896.00000000   767.67187500  1216.00000000
      53692       0.00662532     0.00400614   2005         322     0.00342417     0.00023189      0    3920.00000000   542.69531250  3920.00000000
      53693      -0.00672423     0.01298623   2005         323     0.01111652    -0.00023535      3     128.00000000    59.50000000   128.00000000
      53694       0.00332635     0.01158437   2005         324     0.00991763     0.00011642      2     128.00000000    75.00000000   128.00000000
      53696      -0.00613082     0.01111671   2005         326     0.00951596    -0.00021458      2     192.00000000    74.25000000   192.00000000
      53697      -0.00024375     0.00646246   2005         327     0.00553292    -0.00000853      0     512.00000000   206.25000000   512.00000000
      53699       0.00285392     0.00321055   2005         329     0.00274743     0.00009989      0    3728.00000000   604.84375000  3728.00000000
      53700       0.00615125     0.00398548   2005         330     0.00340724     0.00021529      0    2376.00000000   394.54687500  2376.00000000
      53701       0.00681337     0.00327677   2005         331     0.00279801     0.00023847      0    4688.00000000   659.67187500     0.00000000
      53702      -0.00525396     0.01360338   2005         332     0.01164567    -0.00018389      3     440.00000000    51.99218750     0.00000000
      53704       0.00147394     0.00172495   2005         334     0.00147618     0.00005159      0    9616.00000000  2200.43750000  9616.00000000
      53705       0.00042592     0.00100682   2005         335     0.00086191     0.00001491      0   10368.00000000  4806.31250000 10368.00000000
      53706       0.00229086     0.00326064   2005         336     0.00279080     0.00008018      0    3416.00000000   614.12500000  3416.00000000
      53709       0.00047626     0.00039520   2005         339     0.00033805     0.00001667      0   28224.00000000 28665.00000000     0.00000000
      53710       0.00129056     0.00041489   2005         340     0.00035310     0.00004517      0   24088.00000000 24464.37500000     0.00000000
      53711       0.00161521     0.00042241   2005         341     0.00035840     0.00005653      0   23840.00000000 24212.50000000     0.00000000
      53713      -0.00051665     0.00196628   2005         343     0.00168338    -0.00001808      0    5408.00000000  1233.95312500  5408.00000000
      53715       0.00143312     0.00084802   2005         345     0.00072477     0.00005016      0    7352.00000000  5686.31250000     0.00000000
      53717       0.00214635     0.00177424   2005         347     0.00151767     0.00007512      0    1280.00000000  1130.50000000  1280.00000000
      53719      -0.00238724     0.00182803   2005         349     0.00156346    -0.00008355      0    2120.00000000  1185.87500000  2120.00000000
